"County Name","Years","Census Tract","Smoke Days"
"n/a","AllYears","State Total","7.62"
"Adams","AllYears","53001950100","13.14"
"Adams","AllYears","53001950200","13.14"
"Adams","AllYears","53001950300","13"
"Adams","AllYears","53001950400","13"
"Adams","AllYears","53001950500","12.86"
"Asotin","AllYears","53003960100","13.86"
"Asotin","AllYears","53003960200","14.43"
"Asotin","AllYears","53003960300","14"
"Asotin","AllYears","53003960400","14"
"Asotin","AllYears","53003960500","14"
"Asotin","AllYears","53003960600","14"
"Benton","AllYears","53005010100","12"
"Benton","AllYears","53005010201","12"
"Benton","AllYears","53005010202","12"
"Benton","AllYears","53005010300","12"
"Benton","AllYears","53005010400","12"
"Benton","AllYears","53005010500","12"
"Benton","AllYears","53005010600","12.14"
"Benton","AllYears","53005010701","12.29"
"Benton","AllYears","53005010703","12.43"
"Benton","AllYears","53005010705","12.14"
"Benton","AllYears","53005010707","12"
"Benton","AllYears","53005010708","12.14"
"Benton","AllYears","53005010803","12.29"
"Benton","AllYears","53005010805","12.43"
"Benton","AllYears","53005010807","12.29"
"Benton","AllYears","53005010809","12.43"
"Benton","AllYears","53005010810","12.43"
"Benton","AllYears","53005010811","12.43"
"Benton","AllYears","53005010813","12.29"
"Benton","AllYears","53005010814","12.57"
"Benton","AllYears","53005010901","12.29"
"Benton","AllYears","53005010902","12.14"
"Benton","AllYears","53005011001","12.43"
"Benton","AllYears","53005011002","12.43"
"Benton","AllYears","53005011100","12.29"
"Benton","AllYears","53005011200","12.29"
"Benton","AllYears","53005011300","12.29"
"Benton","AllYears","53005011401","12.14"
"Benton","AllYears","53005011402","12.43"
"Benton","AllYears","53005011501","12.43"
"Benton","AllYears","53005011503","12.43"
"Benton","AllYears","53005011504","12.14"
"Benton","AllYears","53005011600","12.43"
"Benton","AllYears","53005011700","12.57"
"Benton","AllYears","53005011800","12.43"
"Benton","AllYears","53005011900","12.71"
"Benton","AllYears","53005012000","13.29"
"Chelan","AllYears","53007960100","10.29"
"Chelan","AllYears","53007960200","8.43"
"Chelan","AllYears","53007960300","13"
"Chelan","AllYears","53007960400","14.14"
"Chelan","AllYears","53007960500","10.86"
"Chelan","AllYears","53007960600","11.43"
"Chelan","AllYears","53007960700","12.29"
"Chelan","AllYears","53007960801","12.14"
"Chelan","AllYears","53007960802","12.43"
"Chelan","AllYears","53007961000","12.57"
"Chelan","AllYears","53007961100","12.57"
"Chelan","AllYears","53007961200","12.43"
"Chelan","AllYears","53007961301","12.57"
"Chelan","AllYears","53007961302","12.14"
"Clallam","AllYears","53009000200","4.29"
"Clallam","AllYears","53009000300","4.29"
"Clallam","AllYears","53009000400","4.29"
"Clallam","AllYears","53009000600","4.29"
"Clallam","AllYears","53009000700","4.86"
"Clallam","AllYears","53009000800","4.86"
"Clallam","AllYears","53009000900","5"
"Clallam","AllYears","53009001000","5"
"Clallam","AllYears","53009001100","4.86"
"Clallam","AllYears","53009001200","5"
"Clallam","AllYears","53009001300","5"
"Clallam","AllYears","53009001400","4.86"
"Clallam","AllYears","53009001500","4.29"
"Clallam","AllYears","53009001600","5.14"
"Clallam","AllYears","53009001700","5.29"
"Clallam","AllYears","53009001800","4.86"
"Clallam","AllYears","53009001900","5.43"
"Clallam","AllYears","53009002000","5.43"
"Clallam","AllYears","53009002100","5.43"
"Clallam","AllYears","53009002300","5.43"
"Clallam","AllYears","53009940000","4.43"
"Clallam","AllYears","53009990100","4.71"
"Clark","AllYears","53011040101","6.71"
