OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
1,2579,5252101,Pikes Peak Greenbelt,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3532.37195826205,275218.18737815
2,7184,3241002,Schmitz Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2562.34169735758,103975.166434735
3,7228,4250503,Banner Way Triangles,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,552.852693593062,6511.412186096
4,2620,5242102,Lake Heights Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,5847.34955576968,665645.551903776
5,2470,3250101,Ballard High School Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3152.83208148796,558000.281943651
6,2345,5230903,Kiwanis Park - Renton,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,3117.22390089597,406243.223926497
7,7223,3242410,Rotary Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2759.96737190294,97614.5697801178
8,2613,5250802,Terrace Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1144.18532342149,78280.004067495
9,2682,6241701,Lake Sammamish State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,28730.7909321792,20516575.1892382
10,2806,5262902,North Kirkland Community Center,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,3084.34830148839,240666.161878585
11,8111,6243302,Mine Hill Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,3861.60113994834,132289.885893416
12,15339,4230501,Glendale Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2262.14756629681,210649.832641341
13,3125,8230501,Tollgate Farm,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,12624.0312638102,7295447.62805479
14,7843,3260206,Kayu Kayu Ac Park,Park Site,Other King County,County,City of Shoreline,City,City of Shoreline,City,1253.63559675337,78499.367992405
15,7251,4213002,SW 363rd Street Open Space,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,4626.28077597642,340366.553696669
16,6893,5231803,Gateway Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,356.291142083082,7549.81970063655
17,5169,7242609,Cottonwood Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,504.821614246348,16855.1435495114
18,7185,3241003,Alki Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1956.6728278392,197650.091327715
19,7134,3252407,Queen Anne Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,40276.3987877836,1314206.29206031
20,5013,5242204,Forest Drive Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4045.51078900206,72422.3284641319
21,3699,6223502,Henrys Ridge Open Space,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,39061.4948382783,10747097.5179871
22,2730,6261303,Taylor Park,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,2893.61522080226,319624.170852668
23,4997,5251103,Dudley Carter Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,901.71686138281,50098.1816599669
24,5055,5242501,Winfield Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3050.31107073237,92160.1332345458
25,2581,5251801,Watershed Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,15413.8397704091,3366080.39355277
26,2647,5243601,Cougar Mountain Regional Wildland Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,108967.791330292,145413889.840564
27,2830,7211901,Hanging Gardens Site,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,32794.0085718618,15633697.5017466
28,2815,5262802,Totem Lake Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,4427.52437464047,743988.812603413
29,15342,4213503,Beaver Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,455.113354950022,7899.08851233742
30,6925,6261310,4th Avenue Open Space,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,3208.54270677514,149966.067653459
31,2269,4261103,Inglewood Wetlands,Park Site,City of Kenmore,City,City of Kenmore,City,City of Kenmore,City,7258.16254319406,656609.511115044
32,5030,5242309,Lakemont - Lakemont Blvd Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3540.23938779555,119194.685079906
33,2521,4230801,Arbor Lake Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,3461.5416665127,379675.766448152
34,2824,5251803,Houghton Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,2715.88299756052,417237.477518725
35,6985,4251704,North Passage Point Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,833.872796658649,34722.0595050307
36,2703,5263204,Highlands Park - Kirkland,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1308.74861113574,107013.834146235
37,8049,6243301,Hillside Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,5868.91431772267,1445712.74584032
38,6894,5231708,Tonkins Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,452.347116208205,7567.78294955717
39,2826,5231702,Cedar River Park - Renton,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,4198.17748469183,890460.078365875
40,5048,5241404,The Heights Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4033.76368686971,164944.015846063
41,7114,3251505,Arapahoe Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,201.887837655923,1554.17845410949
42,5017,5242206,Forest Park - Upper Washout Way,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4099.7472177617,208054.113289825
43,8107,4233102,Brittany Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,490.147173207468,15045.1276026835
44,2567,4223202,Wooten Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1120.23673106117,86959.436137508
45,2625,5243001,Pioneer Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,15398.1438137374,4945299.71990813
46,2450,8243401,Three Forks Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,47654.1192140488,15031892.2023847
47,2469,3250201,Loyal Heights Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2173.2142854764,291081.684737541
48,7180,4240802,Twelfth Avenue South Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1254.34113946605,46460.4398594481
49,7172,4240410,Mt Baker Ridge Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,323.593270659119,4865.71580775529
50,5316,4221703,South 239th Beach Access,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,356.983205280288,3538.65085073379
51,2734,6260701,Cottage Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4116.23382331132,903906.67792448
52,8126,4212504,Junction Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,315.694769939809,5677.85472990512
53,6906,5252702,Viewpoint Park - Bellevue,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3587.50079284112,589145.091482864
54,6921,3212301,Wedgwood Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1654.38714622331,93005.4039305295
55,2500,4231301,Black River Forest,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,11378.6364992922,4517382.07163889
56,8216,6242807,Berntsen Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1492.10623415767,102816.915150083
57,2800,7233101,Taylor Mountain Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,60297.2633363966,83804242.1188689
58,2516,4240904,Amy Yee Tennis Center,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3613.54618216446,368373.717975041
59,7882,4210402,Laurelwood Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,4866.53172284632,781352.63496642
60,6914,5253502,Evergreen Park - Bellevue,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1007.53757586732,58816.0502786702
61,6980,3252404,David Rodgers Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2575.97507314076,414815.61280294
62,2458,3210101,Poverty Bay Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,8060.52125723735,2445466.220205
63,2593,5251002,Snyders Corner Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1801.27402248015,194438.458196656
64,2761,3230201,Arroyo Heights Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2413.33477795027,159993.247388354
